,Artist,Id
0,Radiohead,604
1,Barbra Streisand,65306
2,Bee Gees,800
3,Nirvana,12712
4,Sly and the Family Stone,19504
5,The Temptations,1664
6,JAY-Z,2
7,Fleetwood Mac,2579
8,Arcade Fire,600
9,King Crimson,14986
10,Eagles,561
11,Swans,42141
12,Simon & Garfunkel,14688
13,Chris Brown,438
14,Taylor Swift,1177
15,Marvin Gaye,944
16,Otis Redding,13177
17,Madvillain,150
18,James Brown,8417
19,Eminem,45
20,Madonna,276
21,Céline Dion,65300
22,MF DOOM,70
23,Animal Collective,644
24,Linkin Park,1581
25,The Band,4946
26,Katy Perry,1195
27,Al Green,1610
28,The Clash,648
29,Mariah Carey,1205
30,Lou Reed,13277
31,Patti Smith,26395
32,Chuck Berry,19340
33,Nick Drake,50824
34,Buddy Holly,64977
35,Led Zeppelin,562
36,Stevie Wonder,1602
37,Billy Joel,16965
38,Björk,34778
39,Van Morrison,32544
40,Neil Young,598
41,Joy Division,28034
42,The Doors,601
43,Metallica,10662
44,Kate Bush,39200
45,Tina Turner,28334
46,Tool,19326
47,The Who,17846
48,Death Grips,11778
49,The Jimi Hendrix Experience,634985
50,OutKast,105
51,Bruno Mars,500
52,Elvis Presley,1645
53,Oasis,21100
54,The Rolling Stones,774
55,U2,23895
56,Nick Cave & The Bad Seeds,39212
57,Johnny Cash,1167
58,Aerosmith,533
59,Ray Charles,22416
60,Eric Clapton,19272
61,A Tribe Called Quest,519
62,Maroon 5,13539
63,Frank Zappa,41921
64,Whitney Houston,8534
65,Curtis Mayfield,864
66,Pink Floyd,694
67,The Police,16735
68,Beastie Boys,329
69,The Beatles,586
70,James Taylor,34552
71,The Byrds,45703
72,Black Sabbath,1121
73,Queen,563
74,Adele,2300
75,my bloody valentine,24533
76,Coldplay,8351
77,Joni Mitchell,989
78,Lady Gaga,447
79,The Velvet Underground,23011
80,Rihanna,89
81,The Cure,15758
82,Lil Wayne,4
83,Aretha Franklin,1108
84,Sam Cooke,21689
85,The Microphones,34000
86,The Kinks,887
87,The Stooges,62684
88,Frank Sinatra,824
89,Justin Bieber,357
90,Kendrick Lamar,1421
91,Wu-Tang Clan,21
92,2Pac,59
93,David Bowie,9534
94,PJ Harvey,33879
95,Phil Collins,3927
96,Bruce Springsteen,19041
97,Ed Sheeran,12418
98,Bob Marley & The Wailers,28615
99,Santana,8439
100,Massive Attack,8823
101,Iron Maiden,22163
102,Tom Waits,1691
103,ABBA,33385
104,Frank Ocean,1985
105,Guns N’ Roses,637
106,Kanye West,72
107,Modest Mouse,14075
108,Ramones,765
109,Portishead,12528
110,Red Hot Chili Peppers,1460
111,Little Richard,37147
112,Sonic Youth,29872
113,Elton John,560
114,Creedence Clearwater Revival,28871
115,Beyoncé,498
116,Steely Dan,25769
117,Elvis Costello,24308
118,The Four Tops,141666
119,Justin Timberlake,334
120,Britney Spears,1052
121,Donna Summer,223454
122,Bob Dylan,181
123,Wilco,13442
124,Ween,30607
125,Alice in Chains,32179
126,Bon Jovi,16698
127,The Smiths,16669
128,AC/DC,20268
129,Nicki Minaj,92
130,The Beach Boys,1138
131,Elliott Smith,17460
132,Beck,2073
133,Nine Inch Nails,12757
134,Sufjan Stevens,958
135,Public Enemy,203
136,Talking Heads,13347
137,New Order,37694
138,Michael Jackson,835
139,Janis Joplin,24360
140,Drake,130
141,Prince,660
142,R.E.M.,8243
