,Id,Title,Artist,Page Views,Pyongs Count,Annotation Count
2041,3080768,Swish Swish,Katy Perry,1651115,90.0,27
2042,2977709,Chained to the Rhythm,Katy Perry,1001321,91.0,20
2043,219361,Dark Horse,Katy Perry,998586,642.0,18
2044,2984944,Bon Appétit,Katy Perry,611187,57.0,13
2045,202955,Roar,Katy Perry,561368,98.0,15
2046,2563,Firework,Katy Perry,547309,83.0,7
2047,4556425,Never Really Over,Katy Perry,519827,102.0,4
2048,59339,The One That Got Away,Katy Perry,491399,46.0,6
2049,4545,E.T. (Remix),Katy Perry,302894,36.0,8
2050,130024,I Kissed a Girl,Katy Perry,300885,40.0,10
2051,2483457,Rise,Katy Perry,288346,38.0,8
2052,3250,California Gurls,Katy Perry,270683,29.0,10
2053,5248416,Smile,Katy Perry,239180,44.0,13
2054,3645,Teenage Dream,Katy Perry,230657,32.0,6
2055,195945,Hot N Cold,Katy Perry,223908,29.0,7
2056,5543329,Daisies,Katy Perry,212712,26.0,8
2057,72010,Last Friday Night (T.G.I.F.),Katy Perry,200761,29.0,10
2058,2483086,Witness,Katy Perry,185457,39.0,7
2059,5312956,Never Worn White,Katy Perry,174738,8.0,5
2060,196096,E.T.,Katy Perry,161986,28.0,7
2061,4705721,Harleys In Hawaii,Katy Perry,160393,36.0,1
2062,239152,Birthday,Katy Perry,153089,85.0,11
2063,239156,Unconditionally,Katy Perry,141140,47.0,9
2064,83607,Wide Awake,Katy Perry,126268,29.0,3
2065,239162,This is How We Do,Katy Perry,120173,47.0,13
2066,3104862,Hey Hey Hey,Katy Perry,113805,19.0,7
2067,2904630,"They ask you how you are, and you just have to say you’re fine",Katy Perry,110416,4.0,2
2068,73098,Ur So Gay,Katy Perry,107640,16.0,12
2069,68946,Part of Me,Katy Perry,105258,21.0,3
2070,4737547,Small Talk,Katy Perry,87769,5.0,1
2071,195939,Thinking of You,Katy Perry,83304,17.0,5
2072,3016503,Power,Katy Perry,81685,15.0,7
2073,196124,Peacock,Katy Perry,81081,10.0,7
2074,3993249,Cry About It Later,Katy Perry,77855,8.0,8
2075,3024001,Déjà Vu,Katy Perry,72711,13.0,5
2076,3109916,Roulette,Katy Perry,69883,18.0,7
2077,3104866,Miss You More,Katy Perry,64886,16.0,8
2078,3104864,Save as Draft,Katy Perry,63150,21.0,9
2079,239192,By the Grace of God,Katy Perry,60407,15.0,10
2080,5773689,Not the End of the World,Katy Perry,57368,11.0,7
2081,5554730,Resilient,Katy Perry,56549,2.0,2
2082,2982945,Tsunami,Katy Perry,56302,12.0,3
2083,239148,Legendary Lovers,Katy Perry,55364,33.0,10
2084,5712079,Champagne Problems,Katy Perry,54630,8.0,8
2085,3038586,Pendulum,Katy Perry,53457,17.0,4
2086,6374716,Electric,Katy Perry,50274,13.0,3
2087,5700846,What Makes a Woman,Katy Perry,49234,5.0,2
2088,5576984,Teary Eyes,Katy Perry,48443,3.0,5
2089,5663616,Only Love,Katy Perry,47210,7.0,5
2090,239170,Ghost,Katy Perry,44411,14.0,6
2091,5773687,Tucked,Katy Perry,41700,11.0,1
2092,3112891,Dance with the Devil,Katy Perry,41387,10.0,4
2093,3112892,Act My Age,Katy Perry,40720,12.0,6
2094,3080771,Bigger Than Me,Katy Perry,40219,13.0,5
2095,195938,Waking Up in Vegas,Katy Perry,40156,7.0,2
2096,3100587,Into Me You See,Katy Perry,39645,15.0,6
2097,239168,Double Rainbow,Katy Perry,36828,8.0,10
2098,4092048,Cozy Little Christmas,Katy Perry,35900,10.0,3
2099,3104865,Mind Maze,Katy Perry,35292,9.0,4
2100,239194,Love Me,Katy Perry,34037,9.0,4
2101,57213,Circle the Drain,Katy Perry,30388,5.0,7
2102,230318,Walking on Air,Katy Perry,30165,18.0,12
2103,239164,International Smile,Katy Perry,29056,14.0,12
2104,118567,One of the Boys,Katy Perry,28863,3.0,9
2105,53967,Not Like the Movies,Katy Perry,25852,13.0,3
2106,239719,It Takes Two,Katy Perry,24529,5.0,9
2107,75255,Hummingbird Heartbeat,Katy Perry,24003,5.0,5
2108,239195,This Moment,Katy Perry,20062,8.0,6
2109,196135,Who Am I Living For?,Katy Perry,19460,4.0,5
2110,368126,Dark Horse (Urban Remix),Katy Perry,18366,13.0,8
2111,253081,Choose Your Battles,Katy Perry,16424,15.0,6
2112,249083,Spiritual,Katy Perry,15466,6.0,7
2113,49284,Pearl,Katy Perry,15291,4.0,6
2114,195956,I’m Still Breathing,Katy Perry,12380,5.0,1
2115,5851581,High On Your Supply,Katy Perry,12137,2.0,3
2116,195953,Lost,Katy Perry,11805,3.0,4
2117,195959,Fingerprints,Katy Perry,10663,3.0,7
2118,77190,Dressin’ Up,Katy Perry,10363,2.0,2
2119,195942,Mannequin,Katy Perry,9560,4.0,4
2120,3094003,Swish Swish (Radio Edit),Katy Perry,8880,,1
2121,195948,If You Can Afford Me,Katy Perry,8837,3.0,2
2122,195955,Self Inflicted,Katy Perry,7866,3.0,2
2123,2311451,Every Day Is A Holiday,Katy Perry,7847,3.0,1
2124,4059415,Waving Through a Window,Katy Perry,7554,2.0,1
2125,2160978,Milk Milk Lemonade,Katy Perry,6389,2.0,1
2126,356021,Dark Horse (Pitbull Remix),Katy Perry,6197,14.0,16
2127,195965,A Cup of Coffee,Katy Perry,6170,2.0,2
2128,4149845,Immortal Flame,Katy Perry,6095,2.0,1
2129,140041,Last Friday Night (T.G.I.F.) [Remix],Katy Perry,5898,4.0,1
2130,502519,This Is How We Do (Remix),Katy Perry,5323,11.0,6
2131,3031324,Chained to the Rhythm (BoatMix),Katy Perry,5142,2.0,8
2132,5749174,Energy,Katy Perry,5108,,1
2133,1316,Poker Face,Lady Gaga,2319143,88.0,14
2134,1313,Bad Romance,Lady Gaga,1089997,67.0,8
2135,3646077,Always Remember Us This Way,Lady Gaga,916921,32.0,3
2136,237963,Do What U Want,Lady Gaga,903929,132.0,3
2137,212646,Sexxx Dreams,Lady Gaga,744665,44.0,9
2138,3771490,I’ll Never Love Again (Extended Version),Lady Gaga,644662,24.0,1
2139,2865087,Million Reasons,Lady Gaga,639234,67.0,10
2140,237954,G.U.Y.,Lady Gaga,546332,126.0,12
2141,4320,Born This Way,Lady Gaga,506083,71.0,20
2142,5489011,911,Lady Gaga,465719,57.0,12
2143,3056170,The Cure,Lady Gaga,428747,54.0,2
2144,203835,Applause,Lady Gaga,426508,82.0,10
2145,236818,Venus,Lady Gaga,382255,58.0,26
2146,153998,Paparazzi,Lady Gaga,309823,45.0,12
2147,2839868,Perfect Illusion,Lady Gaga,305586,88.0,10
2148,54504,Telephone,Lady Gaga,299267,34.0,15
2149,237961,Donatella,Lady Gaga,284178,24.0,27
2150,1189,Alejandro,Lady Gaga,277255,33.0,11
2151,201193,Aura,Lady Gaga,267931,38.0,23
2152,49011,Judas,Lady Gaga,256676,43.0,10
2153,5191423,Babylon,Lady Gaga,256244,40.0,10
2154,237964,Gypsy,Lady Gaga,252317,31.0,15
2155,5489008,Alice,Lady Gaga,250497,38.0,4
2156,51012,Just Dance,Lady Gaga,243937,46.0,14
2157,4982510,Stupid Love,Lady Gaga,227771,57.0,5
2158,2884577,John Wayne,Lady Gaga,217195,16.0,11
2159,5478385,Free Woman,Lady Gaga,212302,19.0,3
2160,80391,Scheiße,Lady Gaga,211581,20.0,11
2161,5489014,Replay,Lady Gaga,207639,30.0,7
2162,3929336,Is That Alright?,Lady Gaga,196634,5.0,2
2163,237956,Mary Jane Holland,Lady Gaga,194166,30.0,13
2164,80398,Yoü and I,Lady Gaga,190219,24.0,13
2165,211537,Swine,Lady Gaga,188167,27.0,13
2166,238495,Dope,Lady Gaga,185432,35.0,12
