,Id,Title,Artist,Page Views,Pyongs Count,Annotation Count
0,109096,Creep,Radiohead,1789342,242.0,7
1,64344,Karma Police,Radiohead,626057,98.0,9
2,71498,No Surprises,Radiohead,596414,88.0,10
3,78831,Paranoid Android,Radiohead,538485,105.0,9
4,107387,Exit Music (For A Film),Radiohead,471929,80.0,13
5,1188,Fake Plastic Trees,Radiohead,438777,80.0,11
6,2468344,Daydreaming,Radiohead,391311,77.0,6
7,196343,True Love Waits,Radiohead,353816,68.0,9
8,65925,All I Need,Radiohead,340340,52.0,7
9,67774,How to Disappear Completely,Radiohead,317081,100.0,7
10,65924,Weird Fishes/Arpeggi,Radiohead,310375,77.0,8
11,71416,High and Dry,Radiohead,300718,57.0,7
12,78354,Let Down,Radiohead,297387,67.0,7
13,2466402,Burn the Witch,Radiohead,295284,70.0,11
14,65923,Nude,Radiohead,291091,45.0,3
15,63104,Everything in Its Right Place,Radiohead,268326,41.0,7
16,2469506,Decks Dark,Radiohead,261054,38.0,14
17,65927,Reckoner,Radiohead,246115,38.0,9
18,499318,Present Tense,Radiohead,243363,53.0,8
19,139773,Fitter Happier,Radiohead,239561,28.0,26
20,1187,Idioteque,Radiohead,239459,64.0,11
21,65929,Jigsaw Falling Into Place,Radiohead,238989,37.0,9
22,66969,Identikit,Radiohead,236690,34.0,6
23,80540,Airbag,Radiohead,234915,43.0,7
24,67777,Motion Picture Soundtrack,Radiohead,226575,39.0,8
25,76803,Street Spirit (Fade Out),Radiohead,207401,43.0,10
26,65930,Videotape,Radiohead,199482,58.0,7
27,67772,Kid A,Radiohead,196032,30.0,6
28,115453,2 + 2 = 5,Radiohead,193968,26.0,9
29,110838,Climbing up the Walls,Radiohead,190742,47.0,8
30,2469477,Ful Stop,Radiohead,186311,35.0,10
31,65928,House of Cards,Radiohead,185751,22.0,5
32,75961,Pyramid Song,Radiohead,185545,46.0,7
33,89984,Lucky,Radiohead,185365,32.0,10
34,77297,Subterranean Homesick Alien,Radiohead,182809,31.0,9
35,65921,15 Step,Radiohead,180352,30.0,8
36,2469498,The Numbers,Radiohead,163782,21.0,12
37,1607907,I Promise,Radiohead,159770,23.0,7
38,2469485,Desert Island Disk,Radiohead,155579,16.0,10
39,65922,Bodysnatchers,Radiohead,148457,17.0,10
40,2469507,Glass Eyes,Radiohead,146593,23.0,10
41,172481,"There, There",Radiohead,145422,26.0,7
42,71499,My Iron Lung,Radiohead,144841,27.0,11
43,50433,Optimistic,Radiohead,140481,24.0,8
44,76797,Just,Radiohead,135782,23.0,4
45,150067,The Tourist,Radiohead,132248,25.0,7
46,49885,A Wolf at the Door,Radiohead,130388,21.0,19
47,1573507,Man of War,Radiohead,127980,25.0,9
48,5094,Lotus Flower,Radiohead,127501,28.0,6
49,63102,The National Anthem,Radiohead,123840,15.0,5
50,71411,The Bends,Radiohead,121174,26.0,12
51,76796,(Nice Dream),Radiohead,116655,20.0,6
52,150063,Electioneering,Radiohead,110607,20.0,8
53,2396651,Spectre,Radiohead,109789,23.0,12
54,65926,Faust Arp,Radiohead,104980,8.0,18
55,2469509,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,Radiohead,104363,21.0,3
56,67776,Morning Bell,Radiohead,103010,12.0,7
57,114477,You and Whose Army?,Radiohead,102365,21.0,4
58,114484,Knives Out,Radiohead,93958,19.0,4
59,1523553,Lift,Radiohead,93802,19.0,11
60,76799,Black Star,Radiohead,91856,25.0,8
61,76798,Bullet Proof... I Wish I Was,Radiohead,88377,19.0,4
62,114480,I Might Be Wrong,Radiohead,82740,30.0,9
63,172670,Bloom,Radiohead,80970,19.0,7
64,67775,In Limbo,Radiohead,80413,11.0,6
65,172677,Codex,Radiohead,76684,17.0,4
66,172484,Myxomatosis,Radiohead,76120,11.0,10
67,115809,Where I End and You Begin,Radiohead,72777,15.0,4
68,172511,Life in a Glasshouse,Radiohead,72008,23.0,8
69,71406,Planet Telex,Radiohead,70297,16.0,5
70,152675,Talk Show Host,Radiohead,67036,24.0,6
71,196291,Last Flowers,Radiohead,66813,12.0,3
72,112029,Like Spinning Plates,Radiohead,65310,19.0,8
73,115482,Sail to the Moon,Radiohead,64380,9.0,4
74,172682,The Daily Mail,Radiohead,55237,9.0,13
75,98114,You,Radiohead,54226,14.0,2
76,114450,Packt Like Sardines in a Crushd Tin Box,Radiohead,52522,14.0,4
77,7178328,If You Say the Word,Radiohead,51987,21.0,8
78,114471,Pulk/Pull Revolving Doors,Radiohead,50185,10.0,8
79,100887,I Will,Radiohead,50055,10.0,6
80,172680,Separator,Radiohead,49614,16.0,2
81,172482,A Punchup at a Wedding,Radiohead,49578,9.0,9
82,115471,Sit Down. Stand Up,Radiohead,49556,2.0,5
83,87815,Thinking About You,Radiohead,48097,9.0,4
84,172678,Give Up the Ghost,Radiohead,47029,9.0,5
85,76795,Bones,Radiohead,45104,16.0,3
86,2870264,Ill Wind,Radiohead,43419,9.0,4
87,76800,Sulk,Radiohead,42590,9.0,7
88,82986,Go to Sleep,Radiohead,42312,15.0,8
89,172485,Scatterbrain,Radiohead,40891,9.0,6
90,114888,Dollars and Cents,Radiohead,39482,7.0,8
91,1507731,Treefingers,Radiohead,38763,3.0,2
92,116066,The Gloaming,Radiohead,36848,8.0,9
93,172675,Little by Little,Radiohead,34821,11.0,4
94,399126,Anyone Can Play Guitar,Radiohead,34757,13.0,4
95,116065,We Suck Young Blood,Radiohead,34616,8.0,5
96,405159,Go Slowly,Radiohead,33908,8.0,1
97,278473,Polyethylene (Parts 1 & 2),Radiohead,32743,7.0,7
98,115490,Backdrifts,Radiohead,31790,6.0,3
99,278513,How I Made My Millions,Radiohead,30772,13.0,4
100,172673,Morning Mr. Magpie,Radiohead,26832,7.0,3
101,172676,Feral,Radiohead,26524,5.0,0
102,1114745,Morning Bell/Amnesiac,Radiohead,25539,2.0,5
103,397216,Up on the Ladder,Radiohead,24950,4.0,3
104,554110,Blow Out,Radiohead,24040,6.0,5
105,526748,4 Minute Warning,Radiohead,23280,7.0,4
106,114894,Hunting Bears,Radiohead,22221,1.0,2
107,432708,Down Is the New Up,Radiohead,22179,3.0,4
108,138700,Stop Whispering,Radiohead,21164,5.0,2
109,196286,Bangers + Mash,Radiohead,21008,1.0,7
110,3534048,Untitled,Radiohead,20781,4.0,1
111,1393728,Harry Patch (In Memory Of),Radiohead,20508,5.0,5
112,2210804,Follow Me Around,Radiohead,20035,13.0,9
113,179045,How Do You?,Radiohead,18749,4.0,1
114,278478,Pearly*,Radiohead,17568,3.0,3
115,278480,A Reminder,Radiohead,17502,11.0,2
116,186542,Prove Yourself,Radiohead,17395,8.0,5
117,196293,Fog,Radiohead,17098,3.0,5
118,115979,Palo Alto,Radiohead,16373,12.0,3
119,554106,I Can’t,Radiohead,15900,7.0,1
120,432705,Gagging Order,Radiohead,15587,2.0,4
121,278492,Lull,Radiohead,15199,6.0,1
122,554101,Ripcord,Radiohead,13918,3.0,4
123,554107,Lurgee,Radiohead,13721,7.0,1
124,278481,Melatonin,Radiohead,13435,2.0,1
125,398455,Supercollider,Radiohead,13389,7.0,12
126,468121,Vegetable,Radiohead,13231,2.0,0
127,3235842,(ocean) bloom,Radiohead,11937,3.0,3
128,350060,The Amazing Sounds of Orgy,Radiohead,11543,8.0,4
129,398460,The Butcher,Radiohead,11315,4.0,5
130,51385,Staircase,Radiohead,11250,8.0,2
131,862170,I Want None of This,Radiohead,10655,2.0,2
132,1039606,These Are My Twisted Words,Radiohead,10519,4.0,1
133,501982,Kid A [Tracklist + Album Cover],Radiohead,10018,,2
134,529934,Banana Co,Radiohead,9282,4.0,6
135,642620,The Trickster,Radiohead,9187,2.0,1
136,389518,Cuttooth,Radiohead,9127,4.0,6
137,1040130,Meeting in the Aisle,Radiohead,8374,2.0,1
138,230441,Pop Is Dead,Radiohead,7837,3.0,5
139,350065,Worrywort,Radiohead,7488,2.0,2
140,432878,Punchdrunk Lovesick Singalong,Radiohead,6983,1.0,2
141,2138992,India Rubber,Radiohead,6844,4.0,2
142,3154731,Are You Someone?,Radiohead,6531,1.0,1
143,170388,Killer Cars,Radiohead,6421,2.0,4
144,2847737,MK 1,Radiohead,6227,,2
145,196296,How Can You Be Sure?,Radiohead,6197,2.0,1
146,66970,Cut A Hole,Radiohead,6188,,1
147,642617,Permanent Daylight,Radiohead,6054,2.0,1
148,2853637,Where Bluebirds Fly,Radiohead,5647,1.0,1
149,642622,You Never Wash Up After Yourself (Live),Radiohead,5235,2.0,1
150,7178420,Like Spinning Plates (‘Why Us?’ Version),Radiohead,5178,1.0,1
151,885240,Fast-Track,Radiohead,5043,1.0,1
152,1575,Let It Be,The Beatles,1421362,115.0,10
153,2236,Yesterday,The Beatles,1241974,90.0,6
154,56218,Come Together,The Beatles,1052903,74.0,12
155,82381,Hey Jude,The Beatles,1030177,92.0,21
156,87577,Here Comes the Sun,The Beatles,969959,53.0,3
157,87564,Something,The Beatles,944933,31.0,7
158,1436,A Day in the Life,The Beatles,654238,69.0,17
159,1556,Blackbird,The Beatles,633462,41.0,5
160,1577,Eleanor Rigby,The Beatles,599985,73.0,11
161,56245,I Am the Walrus,The Beatles,578791,35.0,26
162,71861,In My Life,The Beatles,512476,31.0,6
163,75670,While My Guitar Gently Weeps,The Beatles,489430,34.0,13
164,123444,Across the Universe,The Beatles,451168,48.0,12
165,1572,Lucy in the Sky with Diamonds,The Beatles,450229,50.0,17
