,Title,Artist,Lyrics
0,Creep,Radiohead,"""When you were here before\nCouldn't look you in the eye\nYou're just like an angel\nYour skin makes me cry\nYou float like a feather\nIn a beautiful world\nI wish I was special\nYou're so fuckin' special\n\nBut I'm a creep\nI'm a weirdo\nWhat the hell am I doing here?\nI don't belong here\n\nI don't care if it hurts\nI wanna have control\nI want a perfect body\nI want a perfect soul\nI want you to notice\nWhen I'm not around\nYou're so fuckin' special\nI wish I was special\nBut I'm a creep\nI'm a weirdo\nWhat the hell am I doing here?\nI don't belong here\nOh, oh\n\nShe's running out the door\nShe's running out\nShe run, run, run, run\nRun\n\nWhatever makes you happy\nWhatever you want\nYou're so fuckin' special\nI wish I was special\nBut I'm a creep\nI'm a weirdo\nWhat the hell am I doing here?\nI don't belong here\nI don't belong here242EmbedShare URLCopyEmbedCopy"""
1,Karma Police,Radiohead,"""Karma police, arrest this man\nHe talks in maths, he buzzes like a fridge\nHe's like a detuned radio\n\nKarma police, arrest this girl\nHer Hitler hairdo is making me feel ill\nAnd we have crashed her party\n\nThis is what you'll get\nThis is what you'll get\nThis is what you'll get\nWhen you mess with us\n\nKarma police, I've given all I can\nIt's not enough, I've given all I can\nBut we're still on the payroll\n\nThis is what you'll get\nThis is what you'll get\nThis is what you'll get\nWhen you mess with us\nFor a minute there\nI lost myself, I lost myself\nPhew, for a minute there\nI lost myself, I lost myself\nFor a minute there\nI lost myself, I lost myself\nPhew, for a minute there\nI lost myself, I lost myself98EmbedShare URLCopyEmbedCopy"""
2,No Surprises,Radiohead,"""A heart that's full up like a landfill\nA job that slowly kills you\nBruises that won't heal\nYou look so tired, unhappy\nBring down the government\nThey don't, they don't speak for us\nI'll take a quiet life\nA handshake of carbon monoxide\n\nAnd no alarms and no surprises\nNo alarms and no surprises\nNo alarms and no surprises\nSilent, silent\n\nThis is my final fit\nMy final bellyache with\n\nNo alarms and no surprises\nNo alarms and no surprises\nNo alarms and no surprises, please\n\nSuch a pretty house\nAnd such a pretty garden\nNo alarms and no surprises\n(Get me out of here)\nNo alarms and no surprises\n(Get me out of here)\nNo alarms and no surprises, please\n(Get me out of here)87EmbedShare URLCopyEmbedCopy"""
3,Paranoid Android,Radiohead,"""Please, could you stop the noise?\nI'm trying to get some rest\nFrom all the unborn chicken voices\nIn my head\n\nWhat's that?\n(I may be paranoid, but not an android)\nWhat's that?\n(I may be paranoid, but not an android)\n\nWhen I am king\nYou will be first against the wall\nWith your opinion\nWhich is of no consequence at all\n\nWhat's that?\n(I may be paranoid, but no android)\nWhat's that?\n(I may be paranoid, but no android)\n\nAmbition makes you look pretty ugly\nKicking, squealing, Gucci little piggy\nYou don't remember, you don't remember\nWhy don't you remember my name?\nOff with his head, man, off with his head, man\nWhy don't you remember my name?\nI guess he does\nRain down, rain down\nCome on, rain down on me\nFrom a great height\nFrom a great height, height\nRain down, rain down\nCome on, rain down on me\nFrom a great height\nFrom a great height, height\nThat's it, sir, you're leaving (Rain down)\nThe crackle of pigskin (Rain down)\nThe dust and the screaming (Come on, rain down)\nThe yuppies networking (On me)\nThe panic, the vomit (From a great height)\nThe panic, the vomit (From a great height)\nGod loves his children\nGod loves his children, yeah105EmbedShare URLCopyEmbedCopy"""
4,Exit Music (For A Film),Radiohead,"""Wake from your sleep\nThe drying of your tears\nToday we escape, we escape\n\nPack and get dressed\nBefore your father hears us\nBefore all hell breaks loose\n\nBreathe, keep breathing\nDon't lose your nerve\nBreathe, keep breathing\nI can't do this alone\n\nSing us a song\nA song to keep us warm\nThere's such a chill\nSuch a chill\n\nAnd you can laugh a spineless laugh\nWe hope your rules and wisdom choke you\nNow we are one in everlasting peace\nWe hope that you choke, that you choke\nWe hope that you choke\nThat you choke\nWe hope that you choke\nThat you choke80EmbedShare URLCopyEmbedCopy"""
5,Fake Plastic Trees,Radiohead,"""A green plastic watering can\nFor a fake Chinese rubber plant\nIn a fake plastic earth\nThat she bought from a rubber man\nIn a town full of rubber plans\nTo get rid of itself\n\nIt wears her out\nIt wears her out\nIt wears her out\nIt wears her out\n\nShe lives with a broken man\nA cracked polystyrene man\nWho just crumbles and burns\nHe used to do surgery\nFor girls in the eighties\nBut gravity always wins\n\nAnd it wears him out\nIt wears him out\nIt wears him out\nIt wears\nShe looks like the real thing\nShe tastes like the real thing\nMy fake plastic love\nBut I can't help the feeling\nI could blow through the ceiling\nIf I just turn and run\n\nAnd it wears me out\nIt wears me out\nIt wears me out\nIt wears me out\n\nAnd if I could be who you wanted\nIf I could be who you wanted\nAll the time\nAll the time80EmbedShare URLCopyEmbedCopy"""
6,Daydreaming,Radiohead,"""Dreamers\nThey never learn\nThey never learn\nBeyond the point\nOf no return\nOf no return\nThen it's too late\nThe damage is done\nThe damage is done\n\nThis goes\nBeyond me\nBeyond you\nA white room\nBy a window\nWhere the sun comes\nThrough\nWe are\nJust happy to serve\nJust happy to serve\nYou\n\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\n\u200befil ym fo flaH\u200b\u200b77EmbedShare URLCopyEmbedCopy"""
7,True Love Waits,Radiohead,"""I'll drown my beliefs\nTo have your babies\nI'll dress like your niece\nAnd wash your swollen feet\n\nJust don't leave\nDon't leave\n\nI'm not living\nI'm just killing time\nYour tiny hands\nYour crazy kitten smile\n\nJust don't leave\nDon't leave\n\nAnd true love waits\nIn haunted attics\nAnd true love lives\nOn lollipops and crisps\nJust don't leave\nDon't leave68EmbedShare URLCopyEmbedCopy"""
8,All I Need,Radiohead,"""I'm the next act\nWaiting in the wings\nI'm an animal\nTrapped in your hot car\nI am all the days\nThat you choose to ignore\n\nYou are all I need\nYou're all I need\nI'm in the middle of your picture\nLying in the reeds\n\nI'm a moth\nWho just wants to share your light\nI'm just an insect\nTrying to get out of the night\nI only stick with you\nBecause there are no others\n\nYou are all I need\nYou're all I need\nI'm in the middle of your picture\nLying in the reeds\nIt's all wrong, it's all wrong, it's all wrong\nIt's all right,  it's all right,  it's all right\nIt's all wrong,  it's all right\nIt's all right,  it's all right52EmbedShare URLCopyEmbedCopy"""
9,How to Disappear Completely,Radiohead,"""That there, that's not me\nI go where I please\nI walk through walls\nI float down the Liffey\n\nI'm not here\nThis isn't happening\nI'm not here\nI'm not here\n\nIn a little while\nI'll be gone\nThe moment's already passed\nYeah, it's gone\n\nAnd I'm not here\nThis isn't happening\nI'm not here\nI'm not here\n\nStrobe lights and blown speakers\nFireworks and hurricanes\nI'm not here\nThis isn't happening\nI'm not here\nI'm not here100EmbedShare URLCopyEmbedCopy"""
10,Weird Fishes/Arpeggi,Radiohead,"""In the deepest ocean\nThe bottom of the sea\nYour eyes\nThey turn me\nWhy should I stay here?\nWhy should I stay?\n\nI'd be crazy not to follow\nFollow where you lead\nYour eyes\nThey turn me\nTurn me on to phantoms (Way out)\nI follow to the edge (Way Out)\nOf the earth (Way out)\nAnd fall off\nYeah, everybody leaves (Way out)\nIf they get the chance (Way out)\nAnd this (Way out)\nIs my chance\n\nI get eaten by the worms\nAnd weird fishes\nPicked over by the worms\nAnd weird fishes\nWeird fishes\nWeird fishes\n\nYeah, I...\nI'll hit the bottom\nHit the bottom and escape\nEscape\nAnd I...\nI'll hit the bottom\nHit the bottom and escape\nEscape77EmbedShare URLCopyEmbedCopy"""
11,High and Dry,Radiohead,"""Two jumps in a week, I bet you\nThink that's pretty clever, don't you, boy\nFlying on your motorcycle\nWatching all the ground beneath you drop\nYou'd kill yourself for recognition\nKill yourself to never, ever stop\nYou broke another mirror\nYou're turning into something you are not\n\nDon't leave me high\nDon't leave me dry\nDon't leave me high\nDon't leave me dry\n\nDrying up in conversation\nYou will be the one who cannot talk\nAll your insides fall to pieces\nYou just sit there wishing you could still make love\nThey're the ones who'll hate you\nWhen you think you've got the world all sussed out\nThey're the ones who'll spit at you\nYou will be the one screaming out\nDon't leave me high\nDon't leave me dry\nDon't leave me high\nDon't leave me dry\n\n\nOh, it's the best thing that you've ever had\nThe best thing that you've ever, ever had\nIt's the best thing that you've ever had\nThe best thing you've had has gone away\n\nSo don't leave me high\nDon't leave me dry\nDon't leave me high\nDon't leave me dry\nDon't leave me high\nDon't leave me high\nDon't leave me dry57EmbedShare URLCopyEmbedCopy"""
12,Let Down,Radiohead,"""Transport, motorways and tramlines\nStarting and then stopping\nTaking off and landing\nThe emptiest of feelings\nDisappointed people clinging on to bottles\nAnd when it comes it's so, so disappointing\n\nLet down and hanging around\nCrushed like a bug in the ground\nLet down and hanging around\n\nShell smashed, juices flowing\nWings twitch, legs are going\nDon't get sentimental\nIt always ends up drivel\n\nOne day I am gonna grow wings\nA chemical reaction\nHysterical and useless\nHysterical and\n\nLet down and hanging around\nCrushed like a bug in the ground\nLet down and hanging around\nLet down again\nLet down again\nLet down again\n\nYou know, you know where you are with\nYou know where you are with\nFloor collapsing\nFloating, bouncing back\n\nAnd one day\nI am gonna grow wings\nA chemical reaction\n(You know where you are)\nHysterical and useless\n(You know where you are)\nHysterical and\n(You know where you are)\n\nLet down and hanging around\nCrushed like a bug in the ground\nLet down and hanging around67EmbedShare URLCopyEmbedCopy"""
13,Burn the Witch,Radiohead,"'Stay in the shadows\nCheer at the gallows\nThis is a round-up\nThis is a low-flying panic attack\nSing the song on the jukebox that goes\n\nBurn the witch\nBurn the witch\nWe know where you live\n\nRed crosses on wooden doors\nIf you float, you burn\nLoose talk around tables\nAbandon all reason\nAvoid all eye contact\nDo not react\nShoot the messengers\nThis is a low-flying panic attack\nSing the song of sixpence that goes\n\nBurn the witch\nBurn the witch\nWe know where you live\nWe know where you live70EmbedShare URLCopyEmbedCopy'"
14,Nude,Radiohead,"""Don't get any big ideas\nThey're not gonna happen\n\nYou paint yourself white\nAnd fill up with noise\nBut there'll be something missing\n\nNow that you've found it, it's gone\nNow that you feel it, you don't\nYou've gone off the rails\n\nSo don't get any big ideas\nThey're not gonna happen\nYou'll go to hell for what your dirty mind is thinking45EmbedShare URLCopyEmbedCopy"""
15,Everything in Its Right Place,Radiohead,"'(Kid A, Kid A)\n(Kid A, Kid A)\n\nEverything\nEverything\nEverything\nEverything\nIn its right place\nIn its right place\nIn its right place\nIn its right place\n\nYesterday I woke up sucking a lemon\nYesterday I woke up sucking a lemon\nYesterday I woke up sucking a lemon\nYesterday I woke up sucking a lemon\n\nEverything\nEverything\nEverything\nIn its right place\nIn its right place\nIn its right place\nRight place\nThere are two colours in my head\nThere are two colours in my head\nWhat, what is that you tried to say?\nWhat, what was that you tried to say?\nTried to say, tried to say\nTried to say, tried to say\n\nEverything\nEverything\nEverything\nEverything41EmbedShare URLCopyEmbedCopy'"
