,Id,Title,Artist,Page Views,Pyongs Count,Annotation Count
0,109096,Creep,Radiohead,1791218,242.0,7
1,64344,Karma Police,Radiohead,626966,98.0,9
2,71498,No Surprises,Radiohead,597396,88.0,10
3,78831,Paranoid Android,Radiohead,539192,105.0,9
4,107387,Exit Music (For A Film),Radiohead,472639,80.0,13
5,1188,Fake Plastic Trees,Radiohead,439463,80.0,11
6,2468344,Daydreaming,Radiohead,391503,77.0,6
7,196343,True Love Waits,Radiohead,354227,68.0,9
8,65925,All I Need,Radiohead,340687,52.0,7
9,67774,How to Disappear Completely,Radiohead,317675,100.0,7
10,65924,Weird Fishes/Arpeggi,Radiohead,310833,77.0,8
11,71416,High and Dry,Radiohead,301218,57.0,7
12,78354,Let Down,Radiohead,297771,67.0,7
13,2466402,Burn the Witch,Radiohead,295410,70.0,11
14,65923,Nude,Radiohead,291446,45.0,3
15,63104,Everything in Its Right Place,Radiohead,268644,41.0,7
16,2469506,Decks Dark,Radiohead,261231,38.0,14
17,65927,Reckoner,Radiohead,246439,38.0,9
18,499318,Present Tense,Radiohead,243561,53.0,8
19,139773,Fitter Happier,Radiohead,239816,28.0,26
20,1187,Idioteque,Radiohead,239826,64.0,11
21,65929,Jigsaw Falling Into Place,Radiohead,239351,37.0,9
22,66969,Identikit,Radiohead,236783,34.0,6
23,80540,Airbag,Radiohead,235203,43.0,7
24,67777,Motion Picture Soundtrack,Radiohead,227072,39.0,8
25,76803,Street Spirit (Fade Out),Radiohead,207756,43.0,10
26,65930,Videotape,Radiohead,199743,58.0,7
27,67772,Kid A,Radiohead,196287,30.0,6
28,115453,2 + 2 = 5,Radiohead,194294,26.0,9
29,110838,Climbing up the Walls,Radiohead,191036,47.0,8
30,2469477,Ful Stop,Radiohead,186424,35.0,10
31,65928,House of Cards,Radiohead,185956,22.0,5
32,75961,Pyramid Song,Radiohead,185863,46.0,7
33,89984,Lucky,Radiohead,185558,32.0,10
34,77297,Subterranean Homesick Alien,Radiohead,183063,31.0,9
35,65921,15 Step,Radiohead,180605,30.0,8
36,2469498,The Numbers,Radiohead,163845,21.0,12
37,1607907,I Promise,Radiohead,159834,23.0,7
38,2469485,Desert Island Disk,Radiohead,155650,16.0,10
39,65922,Bodysnatchers,Radiohead,148675,17.0,10
40,2469507,Glass Eyes,Radiohead,146673,23.0,10
41,172481,"There, There",Radiohead,145562,26.0,7
42,71499,My Iron Lung,Radiohead,145129,27.0,11
43,50433,Optimistic,Radiohead,140686,24.0,8
44,76797,Just,Radiohead,136067,23.0,4
45,150067,The Tourist,Radiohead,132376,25.0,7
46,49885,A Wolf at the Door,Radiohead,130546,21.0,19
47,1573507,Man of War,Radiohead,128099,25.0,9
48,5094,Lotus Flower,Radiohead,127641,28.0,6
49,63102,The National Anthem,Radiohead,124078,15.0,5
50,71411,The Bends,Radiohead,121374,26.0,12
51,76796,(Nice Dream),Radiohead,116928,20.0,6
52,150063,Electioneering,Radiohead,110729,20.0,8
53,2396651,Spectre,Radiohead,109892,23.0,12
54,65926,Faust Arp,Radiohead,105124,8.0,18
55,2469509,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,Radiohead,104425,21.0,3
56,67776,Morning Bell,Radiohead,103198,12.0,7
57,114477,You and Whose Army?,Radiohead,102546,21.0,4
58,114484,Knives Out,Radiohead,94125,19.0,4
59,1523553,Lift,Radiohead,93864,19.0,11
60,76799,Black Star,Radiohead,92033,25.0,8
61,76798,Bullet Proof... I Wish I Was,Radiohead,88510,19.0,4
62,114480,I Might Be Wrong,Radiohead,82866,30.0,9
63,172670,Bloom,Radiohead,81064,19.0,7
64,67775,In Limbo,Radiohead,80542,11.0,6
65,172677,Codex,Radiohead,76763,17.0,4
66,172484,Myxomatosis,Radiohead,76223,11.0,10
67,115809,Where I End and You Begin,Radiohead,72863,15.0,4
68,172511,Life in a Glasshouse,Radiohead,72138,23.0,8
69,71406,Planet Telex,Radiohead,70386,16.0,5
70,152675,Talk Show Host,Radiohead,67108,24.0,6
